Hora,Entidad,Municipioenqueselevioporultimavez,Estatura,Sexo,Edad
9:00:AM,ESTADODEMEXICO,TOLUCA,0.9,HOMBRE,2
7:30:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.9,MUJER,2
6:30:AM,PUEBLA,PUEBLA,0.9,HOMBRE,2
6:30:AM,PUEBLA,PUEBLA,0.9,MUJER,2
3:00:AM,PUEBLA,PUEBLA,0.9,HOMBRE,2
8:00:AM,PUEBLA,PUEBLA,0.9,HOMBRE,2
1:30:AM,ESTADODEMEXICO,CHICOLOAPAN,0.9,HOMBRE,2
3:00:AM,ESTADODEMEXICO,JIQUIPILCO,0.9,MUJER,2
10:30:AM,ESTADODEMEXICO,VILLAGUERRERO,0.9,MUJER,2
1:00:AM,AGUASCALIENTES,JESUSMARIA,0.9,HOMBRE,2
12:00:PM,VERACRUZ,ORIZABA,0.9,HOMBRE,3
11:00:37AM,ESTADODEMEXICO,TOLUCA,0.9,HOMBRE,3
1:00:AM,PUEBLA,CHALCHICOMULADESESMA,0.9,HOMBRE,3
7:00:AM,ESTADODEMEXICO,ATENCO,0.9,HOMBRE,3
12:00:PM,MORELOS,CUERNAVACA,0.9,HOMBRE,3
2:00:AM,PUEBLA,PUEBLA,0.9,HOMBRE,3
12:00:PM,ESTADODEMEXICO,JILOTEPEC,0.9,MUJER,3
8:00:AM,PUEBLA,PUEBLA,0.9,MUJER,3
10:30:AM,PUEBLA,PUEBLA,0.9,MUJER,3
10:00:AM,GUERRERO,TIXTLADEGUERRERO,0.9,MUJER,3
4:00:AM,ESTADODEMEXICO,ACULCO,0.9,MUJER,3
2:30:AM,ESTADODEMEXICO,IXTAPALUCA,0.9,MUJER,4
12:00:PM,PUEBLA,PUEBLA,0.9,MUJER,4
7:45:AM,VERACRUZ,VERACRUZ,0.9,MUJER,4
8:00:AM,PUEBLA,CHALCHICOMULADESESMA,0.9,MUJER,4
4:00:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.9,HOMBRE,4
8:00:AM,PUEBLA,PUEBLA,0.9,MUJER,4
7:30:AM,GUERRERO,ACAPULCODEJUAREZ,0.9,HOMBRE,4
6:30:AM,ESTADODEMEXICO,CHALCO,0.9,HOMBRE,4
12:00:PM,ESTADODEMEXICO,TEXCOCO,0.9,MUJER,5
9:00:AM,ESTADODEMEXICO,AMATEPEC,0.9,HOMBRE,5
2:00:AM,PUEBLA,PUEBLA,0.9,MUJER,5
11:00:37AM,ESTADODEMEXICO,NEZAHUALCOYOTL,0.9,MUJER,6
12:00:PM,QUERETARO,QUERETARO,0.9,MUJER,6
6:30:AM,ESTADODEMEXICO,TOLUCA,0.9,HOMBRE,6
12:00:PM,TAMAULIPAS,NUEVOLAREDO,0.9,MUJER,8
5:00:AM,PUEBLA,IZUCARDEMATAMOROS,0.9,HOMBRE,9
12:00:PM,ESTADODEMEXICO,OCUILAN,0.9,MUJER,10
1:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.9,MUJER,null
7:00:AM,ESTADODEMEXICO,IXTLAHUACA,0.91,HOMBRE,3
5:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.91,MUJER,3
12:30:PM,ESTADODEMEXICO,HUEHUETOCA,0.91,MUJER,4
8:00:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.91,HOMBRE,4
3:30:AM,ESTADODEMEXICO,CHALCO,0.92,HOMBRE,3
12:00:PM,ESTADODEMEXICO,ECATEPECDEMORELOS,0.92,MUJER,3
7:15:AM,ESTADODEMEXICO,TEZOYUCA,0.92,MUJER,3
7:30:23AM,ESTADODEMEXICO,LERMA,0.92,MUJER,6
12:00:PM,CIUDADDEMEXICO,CUAUHTEMOC,0.93,MUJER,5
10:00:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.94,MUJER,3
10:00:AM,JALISCO,TLAJOMULCODEZUÑIGA,0.95,HOMBRE,2
12:30:PM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,0.95,MUJER,2
10:00:AM,ESTADODEMEXICO,TEMASCALCINGO,0.95,HOMBRE,2
6:00:AM,PUEBLA,CUAUTLANCINGO,0.95,HOMBRE,2
9:00:AM,PUEBLA,PUEBLA,0.95,MUJER,3
10:00:AM,ESTADODEMEXICO,NAUCALPANDEJUAREZ,0.95,HOMBRE,3
9:00:AM,PUEBLA,PUEBLA,0.95,HOMBRE,4
10:00:AM,GUERRERO,TAXCODEALARCON,0.95,MUJER,4
4:00:AM,PUEBLA,CUAPIAXTLADEMADERO,0.95,HOMBRE,4
10:00:AM,GUERRERO,TAXCODEALARCON,0.95,MUJER,6
12:00:PM,CIUDADDEMEXICO,CUAUHTEMOC,0.95,MUJER,null
12:00:PM,VERACRUZ,null,0.96,MUJER,null
5:30:AM,ESTADODEMEXICO,CHALCO,0.97,MUJER,4
7:00:AM,ESTADODEMEXICO,HUEHUETOCA,0.98,HOMBRE,2
6:00:AM,PUEBLA,CHIETLA,0.98,MUJER,3
8:00:AM,ESTADODEMEXICO,NAUCALPANDEJUAREZ,0.99,HOMBRE,2
11:00:AM,ESTADODEMEXICO,ALMOLOYADEJUAREZ,0.99,HOMBRE,3
11:36:40AM,ESTADODEMEXICO,CUAUTITLAN,0.99,HOMBRE,5
9:30:AM,SONORA,HERMOSILLO,1,MUJER,1
4:00:AM,JALISCO,ZAPOPAN,1,HOMBRE,1
4:30:AM,SONORA,BENITOJUAREZ,1,MUJER,1
12:00:PM,MORELOS,CUERNAVACA,1,HOMBRE,1
3:00:AM,ESTADODEMEXICO,NEZAHUALCOYOTL,1,MUJER,1
12:00:PM,CIUDADDEMEXICO,IZTAPALAPA,1,HOMBRE,2
12:00:PM,TAMAULIPAS,NUEVOLAREDO,1,MUJER,2
9:00:AM,SONORA,SANLUISRIOCOLORADO,1,MUJER,2
10:00:AM,GUERRERO,TLAPADECOMONFORT,1,MUJER,2
8:00:AM,GUANAJUATO,IRAPUATO,1,MUJER,2
4:00:AM,VERACRUZ,ATOYAC,1,MUJER,2
8:00:AM,SONORA,HERMOSILLO,1,MUJER,2
6:00:AM,JALISCO,TLAQUEPAQUE,1,HOMBRE,2
9:00:AM,ESTADODEMEXICO,CHICOLOAPAN,1,HOMBRE,2
8:30:AM,ESTADODEMEXICO,ECATEPECDEMORELOS,1,HOMBRE,2
6:30:AM,NUEVOLEON,GRAL.ESCOBEDO,1,HOMBRE,2
4:30:AM,SONORA,BENITOJUAREZ,1,HOMBRE,3
5:30:AM,ESTADODEMEXICO,TULTITLAN,1,HOMBRE,3
8:30:AM,GUERRERO,ACAPULCODEJUAREZ,1,HOMBRE,3
12:00:PM,SONORA,HUATABAMPO,1,HOMBRE,3
11:00:AM,ESTADODEMEXICO,VALLEDECHALCOSOLIDARIDAD,1,MUJER,3
12:00:PM,JALISCO,ZAPOPAN,1,MUJER,3
5:20:AM,ESTADODEMEXICO,IXTAPALUCA,1,MUJER,3
9:45:AM,PUEBLA,TEHUACAN,1,MUJER,3
7:00:AM,GUERRERO,IGUALADELAINDEPENDENCIA,1,HOMBRE,3
8:30:AM,PUEBLA,SANMARTINTEXMELUCAN,1,MUJER,3
2:09:AM,CHIAPAS,CACAHOATAN,1,MUJER,3
10:00:AM,CHIAPAS,COMITANDEDOMINGUEZ,1,HOMBRE,3
4:00:AM,MORELOS,CUERNAVACA,1,MUJER,3
10:00:AM,PUEBLA,TEZIUTLAN,1,MUJER,3
10:30:AM,BAJACALIFORNIA,TIJUANA,1,MUJER,3
12:00:PM,ESTADODEMEXICO,ALMOLOYADEJUAREZ,1,HOMBRE,3
5:30:AM,ESTADODEMEXICO,IXTLAHUACA,1,HOMBRE,3
5:00:AM,ESTADODEMEXICO,IXTAPALUCA,1,MUJER,3
11:00:AM,COLIMA,VILLADEALVAREZ,1,HOMBRE,3
1:00:AM,SONORA,EMPALME,1,HOMBRE,3
12:00:PM,ESTADODEMEXICO,CHALCO,1,MUJER,3
